Priority,What,When,How,URL,Phone,If sold out,Must?
0,Ekberg brunch,Sun 16 ~11:30,Quandoo via official page; 1.5 h; max 6,https://www.ekberg.fi/en/cafe/table-reservation,+358 9 6811 860,Walk-in café / Fazer / Levain Merikortteli,YES — first impression
1,Georgian Kitchen,Sun 16 ~19:00,Site form / phone,https://www.georgiankitchen.fi/,+358 50 383 3228,Rioni +358 50 551 2264 · https://www.rioni.fi/en-gb/helsinki,YES — the cuisine you named
2,Nolla,Tue 18 dinner,Official reservations page,https://restaurantnolla.com/reservations/,+358 40 163 9313 (Michelin listing),Sea Horse / Kosmos,YES — best cooking under star-tier
3,Grön,Wed 19 ONLY,DinnerBooking,https://dinnerbooking.com/fi/en-US/r3904/restaurant-gron,VERIFY on booker,Latitude 25 / Shii / unused Nolla,If you want the 188e summer menu
4,Löyly 2h public sauna,Wed 19 13:00+,Official calendar,https://varaus.asio.fi/onlinekalenteri/loyly/guest.php?ss_lang=eng,+358 50 4768741 sauna,Allas Sea Pool,YES — architecture + Baltic
5,Gaijin,Sun from 15:00 or later,Official reservation,https://www.gaijin.fi/reservation,010 322 9386 / same-day 010 322 9381,Nolla,"Strong alt, not Georgian"
6,Latitude 25,Wed 19 (closed Sun–Tue),Call / site,https://www.latitude25.fi/,+358 9 6128 6000,Shii https://shii.fi/ 050 329 0360,Only if Grön fails and you want omakase
7,Sea Horse,Any dinner from 15:00,Online / phone,https://www.seahorse.fi/en/restaurant-sea-horse/,+358 9 628 169,Walk-in off-peak possible,Finnish classic backup
8,Amos Rex ticket,Sun 16 before 17:00,Official tickets,https://amosrex.fi/en/tickets/,09 6844 460,Door; 18–29 / students €5 official,YES today — closed Tue
9,HSL ticket / app,All week inc Suomenlinna ferry,HSL app or pier machine BEFORE boarding,https://www.hsl.fi/en/travelling/visitors/suomenlinna,—,Contactless at readers,YES
10,Optional: Suomenlinna English tour,Mon 17 10:30 / 12:30 / 14:30,Ehrensvärd Society shop,https://suomenlinna.johku.com/en_US/liput/guided-walking-tour-in-english,+358 9 68999 850,Self-guided Blue Route is enough,Optional
11,Do NOT book,"Cathedral tours, SkyWheel, food tours, Temppeliaukio as a day, ADM walk Thu 15:00",—,—,—,—,Skip
