Place,Sun 16,Mon 17,Tue 18,Wed 19,Thu 20 (leave 15:00),Flag
Ekberg brunch,OPEN 9–14:30,breakfast only,breakfast only,breakfast only,breakfast only,Official
Fazer café,OPEN 10–20,OPEN,OPEN,OPEN,OPEN morning,Official
Georgian Kitchen,OPEN 13–22,OPEN 15–23,OPEN,OPEN,OPEN but leaving,Official
Rioni,OPEN 13–22,OPEN 16–23,OPEN,OPEN,OPEN but leaving,Official
Georgian Supra,OPEN?* 14–21,CLOSED*,OPEN?*,OPEN?*,OPEN?*,TableOnline — VERIFY
Gaijin,DINNER 15:00,DINNER 16:30 (no lunch),lunch MAY be back,DINNER 16:30,DINNER 16:30,Official summer note
Nolla,CLOSED*,CLOSED*,OPEN dinner*,OPEN dinner*,too late,Michelin hours — VERIFY
Grön,CLOSED,CLOSED,CLOSED,OPEN dinner*,too late,Secondary hours; 188e menu official
Latitude 25,CLOSED,CLOSED,CLOSED,OPEN 17–21:30,too late,Official
Sea Horse,OPEN 15–24,OPEN 15–24,OPEN 15–24,OPEN 15–24,OPEN but leaving,Official summer
Kosmos,CLOSED,OPEN 11:30–24,OPEN,OPEN,OPEN morning/lunch,Official
Elite,OPEN 13–22,OPEN 12–22,OPEN,OPEN,OPEN morning,Official
Katana Ramen,CLOSED?*,OPEN 11–21*,OPEN*,OPEN*,OPEN* morning,Falstaff — VERIFY
Bui Ramen,OPEN 12–20,OPEN 11–21,OPEN,OPEN,OPEN morning,Official — not central
Amos Rex,OPEN 11–17,OPEN 11–20,CLOSED,OPEN 11–20,OPEN 11–23 (you miss evening),Official
ADM,OPEN 11–18,OPEN 11–20,OPEN 11–20,OPEN 11–20,OPEN 11–22 (you miss evening),Official
Oodi,OPEN 10–20,OPEN 8–21,OPEN 8–21,OPEN 8–21,OPEN 8–21 morning,Official
Löyly sauna,OPEN 11–21,OPEN 12–22,OPEN 12–22,OPEN 9–11 & 13–22,OPEN 12–22 morning?,Official
Ateneum,OPEN 10–17,OPEN 11–17,OPEN 10–18,OPEN 10–20,FREE 10–20,Official; free day 20 Aug
Momotoko,DEAD,DEAD,DEAD,DEAD,DEAD,HS/MTV 2025
